tag,Question,Answer
user 373,Saya dianggap depresi,"Saya tidak akan fokus pada apa yang dikatakan orang lain. Apakah Anda merasakan apa yang telah Anda jelaskan dampak fungsi Anda sehari -hari? Cobalah untuk mengevaluasi bagaimana harga diri, motivasi, dan kepercayaan diri Anda. Bagaimana dengan pikiran negatif atau keputusasaan? Adakah kekhawatiran tentang nilai Anda yang meluncur ke bawah? Jika Anda menjawab ya untuk pertanyaan apa pun, mungkin saatnya untuk menemui penasihat."
user 374,Bagaimana saya bisa membuat orang mendengarkan?,Percayai ini ... Anda tidak sendirian. Kami di sini untuk membantu. Ada pengalaman hidup yang lewat dan mungkin mereka melihat melalui apa yang belum Anda tuju. Mereka berada dalam waktu dalam kehidupan mereka di mana hormon dan penuaan membawa mereka ke tempat yang lebih mereka fokus lebih pada perasaan mereka. Meskipun ini harus menjadi waktu untuk merangkul permulaan baru Anda untuk membantu Anda dengan lebih banyak kesabaran. Terkadang belajar praktik energi dan keterampilan komunikasi dapat meningkatkan koneksi Anda. Anda juga berada di tempat transisi. Ini mungkin terlihat tidak terurai sekarang tetapi akan menyeimbangkan begitu Anda melewati masa dewasa. Maka Anda akan melihat persahabatan yang berkembang dengan mereka mungkin. Tunggu
user 375,Mengapa saya merasa sedih sepanjang waktu?,"Halo, sementara orang bisa sedih dari waktu ke waktu, merasa sedih ""sepanjang waktu"" bisa menjadi tanda depresi. Jika Anda merasa sedih di sebagian besar hari, ada baiknya berbicara dengan seorang psikolog untuk menentukan apakah Anda menderita depresi klinis. Merasa kesedihan adalah respons normal terhadap kehilangan, apakah Anda kehilangan keluarga, teman, pekerjaan, atau sesuatu yang Anda anggap penting dalam hidup Anda. Namun, merasa sedih sepanjang waktu adalah sinyal bahwa Anda tidak senang dengan sesuatu dalam hidup Anda. Jika itu terkait dengan keluarga Anda dan seringkali hubungan dengan anggota keluarga dapat memengaruhi harga diri dan harga diri kami, maka mungkin ada baiknya menjelajahi apa yang menurut Anda tidak bahagia tentang hubungan Anda dengan keluarga Anda. Apakah Anda tidak merasa terdengar, didukung atau dicintai? Apakah Anda merasa tidak dihormati, diabaikan atau merasa tidak penting? Ini hanya beberapa contoh masalah umum yang dilaporkan orang yang berkontribusi pada depresi mereka. Untuk membantu Anda mengungkap alasan Anda atas kesedihan atau depresi Anda dan mengatasinya dengan cara yang lebih sehat dan lebih konstruktif, mungkin bermanfaat untuk menghubungi terapis yang dapat mendukung Anda dengan proses ini. Anda tidak harus menghadapinya sendiri. Virginia Chow, Psikolog Montreal. Untuk informasi lebih lanjut tentang depresi, silakan berkonsultasi dengan situs web saya di www.psychologyresource.ca"
user 376,Apakah mungkin saya mengalami depresi?,"Depresi bukanlah sesuatu yang ""dimiliki seseorang"", itu adalah suasana hati yang gelap dan kurangnya kepuasan dengan cara kehidupan saat ini terstruktur. Jika Anda menganggap depresi sebagai motivasi untuk mencari cara baru untuk memahami diri sendiri, menemukan cara yang lebih memuaskan Dalam pekerjaan dan hubungan Anda, maka depresi adalah pesona. Sikap khas yang dimiliki kebanyakan orang ketika mereka memikirkan kata ""depresi"", adalah bahwa hidup mereka akan runtuh dan menurun, mereka perlu menggunakan narkoba, dan merasa tidak ada harapan. Anda mengambil pendekatan yang berbeda dan bekerja dengan depresi Anda sebagai sinyal untuk mengubah beberapa area utama atau satu atau dua area kecil, maka Anda akan melibatkan diri dalam menciptakan kehidupan yang lebih baik untuk diri sendiri!"
user 377,Bagaimana saya bisa mengatasi gangguan stres pascatrauma saya tanpa orang tua saya mengetahuinya?,"Post Traumatic Stress Disorder (PTSD) adalah masalah yang sangat kompleks. Ini adalah akar penyebab banyak masalah lain termasuk depresi, kecemasan dan kemarahan untuk beberapa nama. Pengecualian kembali acara ini adalah gejala PTSD. Salah satu hal terbaik yang dapat Anda lakukan untuk diri sendiri adalah menemukan seseorang yang berspesialisasi dalam areato ini membantu Anda mengatasi gejala yang terkait dengan gangguan ini serta secara langsung menangani peristiwa/peristiwa yang awalnya menyebabkan gejala. Ada berbagai metode perawatan yang tersedia untuk membantu para profesional yang berhasil mengobati gangguan ini. Sementara itu ada sebuah buku berjudul ""The Body Keeps the Score"", itu informasi dan mungkin akan membantu Anda dalam perjalanan Anda. Ini adalah harapan saya bahwa Anda tidak berurusan dengan ini sendirian. Semoga sukses!"
user 378,Mengapa saya merasa seperti saya tidak akan pernah memiliki karier/jumlah yang baik untuk sesuatu secara finansial?,"Jika Anda tidak mengikuti tujuan yang Anda berikan sendiri, ada dua kemungkinan. Anda tidak terlalu menyukai tujuan Anda. Tetapkan tujuan yang tidak sesuai dengan sifat Anda, maka secara intuitif sebagian dari Anda akan menolaknya. Jika Anda menabur sendiri, dapatkan dengan cara Anda sendiri dari mencapai apa yang sebenarnya Anda inginkan, maka ajukan pertanyaan tentang diri Anda di sekitar apakah Anda merasa tidak layak tidak layak kesuksesan."
user 379,Mengapa saya merasa seperti saya tidak akan pernah memiliki karier/jumlah yang baik untuk sesuatu secara finansial?,"Sebagai permulaan, puji diri Anda karena berkomitmen untuk bekerja. Anda tidak tahu apa yang akan terjadi di detik berikutnya, jadi fokus pada pemikiran Anda tidak akan pernah memiliki karier yang baik atau sama dengan apa pun yang secara finansial menciptakan cerita fiktif. Ingatkan diri Anda akan hal itu setiap kali pikiran itu muncul. Keyakinan palsu bahwa tidak ada hal baik yang akan terjadi adalah menyedot energi yang dapat Anda gunakan untuk mengejar impian karier Anda. Selanjutnya, apakah Anda tahu apa yang perlu Anda lakukan untuk menjadi tukang listrik atau operator mesin berat? Jika tidak, cari tahu. Kemudian, atur jadwal yang realistis untuk diri Anda sendiri untuk menyelesaikan langkah -langkahnya. Saat Anda menyelesaikan setiap langkah, lihat kemajuan Anda. Perhatikan bahwa Anda bergerak lebih dekat ke tujuan Anda. Setiap hari ingatkan diri Anda mengapa Anda mengejar karier ini. Bahkan, tuliskan dan rekatkan di cermin kamar mandi Anda. Ketika Anda mulai merasa berkecil hati, ingatlah tujuan Anda dan ingatkan diri Anda bahwa Anda tidak tahu apakah Anda akan berhasil atau tidak tetapi Anda akan memberikan semua yang harus Anda ketahui. Apa pun yang layak dikejar akan membutuhkan banyak kegigihan dan kerja keras. Tetaplah dengan itu! Anda dan keluarga Anda sepadan!"
user 380,Apakah saya memiliki kecemasan?,"Setiap orang memiliki beberapa tingkat kecemasan - itulah yang membantu kita menanggapi stres dalam kehidupan kita dan memberi petunjuk kepada kita pada kenyataan bahwa kita perlu menanggapi sesuatu yang terjadi. Namun, jika Anda merasa kewalahan dengan pikiran balapan, merasa seperti Anda menghabiskan banyak energi untuk mengkhawatirkan sesuatu yang spesifik atau bahkan apa saja, dan Anda mulai menemukan bahwa itu menghalangi Anda ketika harus hidup untuk hidup Hidup Anda seperti yang Anda inginkan, maka saya sarankan menemui penasihat atau terapis untuk penilaian untuk kecemasan. Namun, kekhawatiran lainnya, tampak cukup ""normal"" bagi seseorang yang menjalin hubungan dengan pasangan yang memiliki anak. Sebagai ibu tiri yang sudah menikah, saya pernah ke sana, dan sebagai terapis, saya dapat memberi tahu Anda bahwa batasan dan keterampilan komunikasi yang Anda miliki dalam hubungan Anda harus sehat agar Anda merasa sehat. Menemukan beberapa dukungan dari sekelompok orang lain yang pasangannya memiliki anak mungkin sangat membantu - bisa mendengar dari orang lain bahwa Anda tidak sendirian dalam perasaan seperti ini benar -benar dapat meringankan beban, dan mereka mungkin memiliki beberapa ide bagus untuk menangani situasi tertentu . Pilihan lain adalah menemukan penasihat atau terapis yang memiliki pengalaman bekerja dengan dinamika keluarga Step/Blended - karena bahkan jika Anda belum menikah secara resmi, dinamika itu ikut bermain setiap kali ada anak -anak dari hubungan lain yang terlibat. Anda bahkan dapat mempertimbangkan konseling pasangan sehingga Anda berdua dapat belajar berbicara tentang kebutuhan dan kekhawatiran hubungan Anda dengan cara yang akan mendorong koneksi dan memperkuat rasa kemitraan Anda."
user 381,Bagaimana saya bisa kurang paranoid di malam hari?,"Apakah Anda mungkin merasa kurang paranoid jika Anda berbicara dengan seseorang pada saat -saat Anda merasa paranoid? Ada hotline kesehatan mental, jadi mungkin berbicara dengan seseorang akan melepaskan ketakutan Anda cukup sehingga Anda akan tertidur kembali. Juga, mungkin pergi tidur hanya jika Anda benar -benar lelah. Dengan cara ini tubuh Anda sendiri akan menarik kondisi mental Anda untuk tidur. Apakah Anda mengerti mengapa paranoia hanya memengaruhi Anda pada malam hari. Biasanya paranoia datang ketika ingin, dan tidak terbatas pada malam hari. Mungkin itu hanya ketakutan dan kecemasan, bukan paranoia yang Anda miliki."
user 382,Bagaimana cara menangani putra alkohol saya?,"Situasi yang berat untuk berada. Pasti sangat sulit untuk merasa seperti Anda tidak dapat membantu putra Anda dan bantuan yang Anda coba berikan tidak benar -benar membantunya atau Anda. Ada beberapa hal dalam situasi inilah yang terjadi Di luar kendali Anda-apa yang dilakukan putra Anda, jika ia mengambil bantuan atau tidak, dan perasaan yang muncul untuk Anda tentang itu. Saya hanya bisa membayangkan betapa pengeringannya sebagai orang tua untuk tidak dapat mengubah sesuatu yang begitu penting. Masuk akal Anda akan merasa cemas dan tertekan. Biarkan satu menit ke hal-hal yang Anda miliki secara berlebihan-apa hal-hal itu dalam situasi ini? Mungkin begitulah cara Anda mengungkapkan cinta Anda untuk putra Anda. Atau mungkin itulah cara Anda memilih untuk mendukungnya (bahkan jika rasanya seperti pengkhianatan baginya). Perhatikan juga jumlah kekhawatiran yang Anda alami-bagaimana banyak yang membantu Anda merencanakan vs berapa banyak yang berlebihan? Mengetahui kekhawatiran apa yang tidak perlu dapat membantu Anda mengendalikan bagaimana Anda menghabiskan sebagian waktu Anda. Anda dapat mengganti waktu ini dengan beberapa perawatan diri sebagai gantinya, memberikan kembali kepada diri sendiri. Menemukan kelompok pendukung atau orang-orang yang memiliki situasi serupa dapat sangat membantu. Saya akan mengatakan mereka hampir diperlukan. Mengetahui orang lain mendapatkan apa yang sedang Anda alami dan memahami korban emosional bisa agak penyembuhan. Mereka mungkin juga mengetahui sumber daya atau ide lain yang dapat Anda coba yang tersedia untuk orang -orang dalam situasi Anda. Sesuatu yang lain untuk dipertimbangkan adalah pekerjaan kesedihan. Melepaskan beberapa atau semua situasi dengan putra Anda (jika itu yang terjadi) adalah kerugian raksasa. Anda mungkin sudah melewati kehilangan siapa putra Anda sebelum kecanduan, sehingga bisa lebih baik menjelajahi dampak yang dimiliki dan dimiliki pada Anda."
user 383,Apakah diagnosis sendiri oke?,"Salah satu cara diagnosis sangat membantu dilakukan dengan penyedia kesehatan yang memiliki ""bahasa umum"" untuk membahas pasien mereka. Tiba pada diagnosis membutuhkan pengumpulan sedikit data pada seseorang yang mencakup pengamatan. Saya tidak akan merekomendasikan diagnosis diri sendiri karena bisa menantang bagi seseorang untuk menjadi objektif tidak peduli berapa banyak penelitian yang telah mereka lakukan. Lebih lanjut, saya tidak percaya pada orang patologi dan saya tidak akan merekomendasikan siapa pun yang patologis sendiri."
user 384,Bagaimana cara memberi tahu orang tua saya bahwa saya pikir saya memiliki beberapa masalah mental?,"Dukungan keluarga sangat membantu saat mengalami gejala -gejala ini. Saya sarankan mencari terapis dalam jangkauan (sekolah, melalui asuransi Anda komunitas, menelepon 2-1-1). Setelah Anda menjadwalkan sesi, Anda dapat memberi tahu mereka dan mengundang mereka untuk masuk. Saya telah menemukan orang tua yang skeptis, bahwa begitu mereka memberikan kesempatan mereka terbuka untuk proses belajar dan penyembuhan. Saya juga mengerti bahwa orang tua mungkin menjadi terlalu khawatir dan terlalu protektif ketika mendengar tentang gejala Anda, dan itulah sebabnya penting untuk membahasnya dengan terapis, menormalkan mereka, memahami mengapa Anda mengalaminya, dan belajar bagaimana mereka dapat membantu Anda. ¿cómo les Digo a mis padres que yo pienso que tengo problemas mentales? Estoy seguro que tengo depresión ansiedad. Tambi� � n escucho voces en mi cabeza. Tengo Problemas para Dormir Tambi� � n. Y he sido diagnostikado con d� � ficit de atención y desorden oblivo compulsivo. Saya dia bendera otomatis y sol�a tener ide bunuh diri. Como les dejo saber y les pido ayuda.el apoyo de la familia es muy útil cuando se Experimentan los s�ntomas que mesencionas. Te Sugiero Que Busques un Consejero (en la escuela, sebuah rencana trav� � s de tu m� � dico, o en la comunidad, llamando al 2-1-1). Ya que tengas tu cita, undangan a tus padres. Dia mengamati que alguno Aunque Padres putra Esc� � pticos al principio, pero una vez le dan una oportunidad se abren al proceso de terapia y sus adanya penerima. Tambi� � n He Observado Que Algunos Padres Se Vuelven Sobreprotectores Cuando Aprenden de Los S�ntomas Que Sufren Hijos, As� que Ser�a Otro queo que que que pueden hacer para ayudarte y apoyarte."
user 385,Aku ingin menceritakan mental saya ke orangtua,"Apa yang menghentikan Anda sekarang dari memberi tahu orang tua Anda apa yang Anda rasakan? Apakah Anda membayangkan meminta mereka untuk terapi akan menjadi kejutan bagi mereka? Jika mereka memperhatikan Anda sama sekali, maka saya membayangkan mereka akan merasa lega mengenal Anda Sadarilah memiliki beberapa perasaan dalam diri Anda tentang suatu masalah. Jika Anda yakin mereka akan memiliki reaksi negatif terhadap Anda meminta bantuan, ini mungkin menjadi bagian dari mengapa Anda mengalami masalah di tempat pertama. Reaksi apa yang Anda lakukan Orang tua yang dimiliki ketika Anda didiagnosis dengan kondisi lain? Saya akan memisahkan kesediaan mereka untuk membantu Anda dari rasa membutuhkan bantuan. Jika mereka tidak ingin membantu menemukan terapis untuk Anda, kemudian mulai dengan mencari layanan yang tersedia untuk orang lain Dalam kelompok usia Anda yang orang tuanya juga tidak ingin terlibat dalam kesehatan emosional dan psikologis anak mereka."
user 386,Bagaimana cara membantu pacar saya yang berusia 20 tahun yang mengatakan dia membenci hidupnya?,"Sulit untuk menonton seseorang yang Anda sayangi merasa tertekan dan saya kira itu juga membuat Anda jatuh. Kebanyakan orang perlu mencapai ""dasar batu"" sebelum mereka dapat mengubah hidup mereka. Rock Bottom adalah target yang mengharukan-berarti bagian bawah batu satu orang bisa terlihat sama sekali berbeda dari yang lain. Bagi sebagian orang itu perjalanan ke rumah sakit, bagi yang lain itu gagal dalam ujian. Ini tentang apa yang memunculkan ketidaknyamanan yang cukup (dengan kesadaran mengapa) dengan cara hidup saat ini sehingga tidak berubah akan lebih menyakitkan. Depresi sangat sulit, tetapi juga bisa sangat menghibur. Menyebalkan untuk merasa sedih, tapi setidaknya Anda tahu apa yang diharapkan. Dia tahu bahwa dia akan menjadi tinggi, zona masuk ke teleponnya, dan kemarahannya mungkin cukup mudah diprediksi. Di sisi lain, perubahan tidak pasti. Apakah dia terbuka untuk menemui terapis? Atau terbuka untuk mencoba sesuatu yang baru dengan Anda? Jika tidak, itu bukan salah Anda juga bukan tanggung jawab Anda. Anda jelas peduli, tetapi itu tidak berarti ada pada Anda jika dia tidak menindaklanjuti. Sepertinya mungkin dia merasa nyaman dalam struktur harian yang Anda gambarkan, tetapi bahkan keluar untuk berjalan -jalan dapat membantu pola pikirnya sedikit. Secara keseluruhan, itu bukan jaminan bahwa Anda dapat membantunya, meskipun benar -benar luar biasa yang Anda miliki Begitu banyak empati untuknya. Pastikan Anda menjaga diri sendiri karena Anda juga penting!"
user 387,Apakah normal untuk tidak merasakan empati?,"Sangat umum kehilangan kemampuan untuk mengalami empati ketika Anda kewalahan, terbakar, dan/atau kelelahan. Empati adalah tentang mengakses emosi Anda sendiri dengan cara untuk memahami pengalaman atau keadaan orang lain. Jika ada sesuatu di dalam diri Anda (secara emosional) yang mungkin Anda coba hindari, itu mungkin menutup kesediaan Anda untuk merasakan atau mengekspresikan empati sama sekali. Ini juga sering terjadi dengan kelelahan emosional, serta jika kita tidak memasang batasan dengan empati kita. Brene Brown memiliki video yang bagus tentang ini: https: //www.youtube.com/watch? V = 5U3VCGUZQII.One cara untuk memikirkan hal ini adalah dengan bertanya pada diri sendiri apa yang ingin diceritakan oleh kecemasan Anda. Apakah mungkin ada sesuatu yang tidak Anda atasi dalam hidup Anda yang mengganggu Anda? Atau apakah Anda merasa terlalu banyak berbicara dan menyebar terlalu tipis? Saya juga tidak yakin jika komentar Anda berarti Anda tidak memiliki emosi untuk diri sendiri atau Anda tidak memiliki kecemasan untuk diri sendiri, tetapi saya ingin menunjukkan hal itu Anda memang memiliki semacam emosi untuk diri sendiri. Itulah alasan Anda menanyakan pertanyaan ini! Ketakutan melakukan pekerjaan bintang dalam menutupi emosi seperti kesedihan dan rasa malu. Anda mungkin tidak menyadari perasaan -perasaan ini, tetapi mereka masih bisa ada. Loss empati kadang -kadang dapat menyebabkan pemutusan dari rasa sakit orang lain, meskipun versi ekstrem dari ini tidak terlalu umum. Jika Anda mulai mengalami ide pembunuhan atau pemikiran tentang menyakiti orang lain, penting bagi Anda untuk segera berbicara dengan seseorang."
user 388,Bagaimana cara menjaga depresi saya dari perpisahan?,"Sudahkah Anda mencoba memberi diri Anda beberapa ruang bernafas untuk memulihkan diri secara emosional dari perpisahan? Kadang -kadang orang berharap diri mereka bangkit kembali lebih cepat daripada yang layak. Kemudian, penderitaan karena kesedihan dan kesalehan dari perpisahan selain penderitaan yang disebabkan oleh diri sendiri dengan tidak mengizinkan waktu untuk merasa kesal tentang kehilangan hubungan. Ketegangan yang Anda rasakan. Karena Anda menulis bahwa Anda tidak dapat berfungsi dan Anda menulis pertanyaan di situs web online, mungkin Anda tidak memberikan kredit yang cukup untuk kapasitas Anda berfungsi. Siapa pun yang tidak berfungsi tidak akan mampu menulis a Pertanyaan tentang diri mereka sendiri. Sementara apa yang Anda tulis tentang diri Anda secara luas, jawaban saya yang sama luasnya adalah Anda mungkin melakukan lebih baik daripada yang Anda pikirkan dan masalah kuncinya adalah ketidaknyamanan dan ketidaksabaran bahwa perasaan sedih dari perpisahan, lebih banyak di dalam masa lalu dari saat ini adalah masalahnya."
user 389,Bagaimana cara mengetahui penyebab depresi dan kecemasan saya?,"Sangat membantu untuk menemui penasihat/terapis tentang peningkatan depresi/gejala panik Anda. Mencari tahu penyebab depresi/kecemasan tidak selalu semudah kelihatannya, karena kedua masalah cenderung menjadi pola yang kita lakukan daripada semata -mata terkait dengan pemicu/alasan tertentu. Misalnya, jika saya merasa sedih tentang keadaan tertentu dalam hidup saya, maka saya mulai melihat kehidupan melalui lensa perasaan sedih ini, dan biasanya saya akan mulai melihat lebih banyak yang saya turunkan, dan itu benar -benar dapat membangun sangat cepat dengan sendirinya. Sama dengan kecemasan. Jelas, ini adalah contoh yang sangat disederhanakan dan bisa sangat sulit untuk melihat bagaimana polanya dipertahankan, tetapi di situlah bekerja dengan seorang penasihat/terapis masuk. Saya akan penasaran apakah Anda dapat mulai melihat sensasi awal panik , dan jika Anda bisa (melalui serangan panik) terus mempertahankan kesadaran akan sensasi fisik yang sebenarnya. Bahkan lebih baik jika Anda dapat berbicara sendiri melalui sensasi yang Anda rasakan - seperti berkata pada diri sendiri ""Oke, saya bernapas dengan sangat cepat, dan hati saya berdebar kencang, sekarang telapak tangan saya berkeringat dan dadaku terasa sangat ketat .. . ""Mengingatkan diri sendiri bahwa itu hanya reaksi tubuh Anda terhadap stres, dan sementara itu mungkin bereaksi berlebihan sekarang, Anda baik -baik saja dan pada akhirnya itu akan hilang. Saya sangat merekomendasikan aplikasi manajemen kecemasan SAM untuk bagian kecemasan, dan saya tidak akan terkejut jika mengatasi kecemasan membantu mengatasi beberapa depresi juga."
user 390,Apa yang dapat saya lakukan tentang depresi dan kecemasan saya setelah mencoba banyak hal?,"Mungkinkah Anda tidak bercampur dengan baik dengan terapis tertentu yang telah bekerja dengan Anda? Jika ini memungkinkan, wawancarai seorang terapis sebelum memulai terapi. Maka Anda akan memilih terapis yang merasa kompatibel dengan cara Anda melihat diri Anda dan hidup Anda. Juga, terapi bukan untuk semua orang. Baca tentang modalitas penyembuhan yang berbeda dan lihat apakah salah satu dari ini berbicara dengan minat Anda untuk merasa lebih baik. Yang paling penting adalah menemukan di antara semua metode penyembuhan yang sah, apa yang Anda yakini akan efektif."
user 391,Bagaimana cara saya bangkit kembali sambil mengalami perceraian yang buruk?,"Melewati perceraian seringkali merupakan poin yang sangat rendah bagi orang -orang yang terlibat. Anda terkejut bahwa Anda akan segera menjadi mantan tidak membantu putri remaja Anda? Biasanya pola dan dinamika dalam mengasuh anak bukanlah perkembangan mendadak. Apakah mungkin apa yang Anda lakukan Perasaan sekarang lebih intensitas untuk stres pengasuhan sendiri, bukan karena ini adalah masalah yang tiba -tiba? Ini relevan karena Anda mungkin lebih akrab dan lebih mampu daripada Anda memberi diri Anda kredit. Kurangnya dukungan emosional jelas menegangkan. Keterampilan pengasuhan anak Anda mungkin masih berada pada tingkat di mana mereka sebelum perceraian. Jadikan keletihan emosional Anda dengan serius dan renungkan berbagai cara menghilangkan stres yang tersedia dan menarik minat Anda. waktu ekstra untuk beristirahat, memelihara diri sendiri dan menjadi fleksibel dalam menemukan apa yang terasa tepat untuk menstabilkan diri Anda. Karena Anda berbicara tentang putri Anda dan membantu dengan cara fisik, jika itu masalah kekuatan yang Anda butuhkan, bicaralah dengan pengacara Anda sehingga anak tersebut Perjanjian hak asuh mencakup apa pun yang secara fisik diperlukan dalam cara kekuatan, dalam merawat putri Anda. Pengadilan sangat pandai dalam upaya yang menawarkan perjanjian tahanan kepada anak -anak."
user 392,"Mengapa saya merasa baik -baik saja ketika saya bersama orang lain, tetapi ketika saya sendirian, saya merasa sangat tertekan, sedih, dan tidak berharga?","Mungkin Anda mengganggu diri sendiri dari menekan masalah dalam diri Anda ketika Anda bersama teman -teman. Praktek memiliki waktu sendiri sehingga Anda dapat menjawab pertanyaan dasar -dasar yang Anda tanyakan di sini. Pertanyaan Anda bagus. Bersiaplah untuk mengejutkan diri sendiri dengan jawaban yang muncul. Semakin banyak Anda belajar dan memahami diri sendiri, semakin sedikit Anda akan merasa perlu mengalihkan perhatian. Maka Anda dapat memiliki waktu dengan teman -teman demi kesenangannya sendiri."
user 393,Saya pikir teman saya mungkin mengalami depresi,"Apakah Anda merasa berat dengan keputusasaan, berjuang setiap hari untuk menjaga kepala Anda tepat di atas kegelapan dan ketakutan? Apakah perlu setiap ons energi untuk tetap bertahan? Atau apakah Anda merasa kewalahan dengan perasaan tidak berdaya dan putus asa? Jika ini terdengar familier, kami ingin Anda tahu bahwa Anda tidak sendirian dan terapi untuk depresi dapat membantu. Sementara itu mungkin tampak sulit untuk menemukan jalan kembali ke harapan dan kebahagiaan, terapis, terapis telah membantu klien untuk melakukan hal itu secara pribadi selama bertahun -tahun. Untuk mengalami kegembiraan sinar matahari yang hangat di wajah mereka, untuk terhubung kembali dengan orang-orang terkasih yang terasing, dan untuk melibatkan kembali dengan kehidupan yang bermakna. Hanya seperti penyakit kronis lainnya, depresi bukanlah kesalahan Anda, bukan apa-apa yang Anda sebabkan. Dan juga seperti banyak penyakit lain, ada perawatan yang efektif untuk membantu memudahkan dan menghilangkan perjuangan yang Anda hadapi. ingin meninggalkan rumah.� � � � �Aku tidak peduli lagi. , � � �Aku berharap aku tidak ada di sini.� � Lalu ada langkah -langkah dan terapi yang terbukti yang dapat membantu Anda mendapatkan kelegaan yang luar biasa. Terapi untuk depresi dapat membawa Anda harapan, bantuan, dan jalan ke depan. Kunjungi denvermhc.com untuk membaca lebih lanjut."
user 394,Mengapa saya kesal atau turun setiap hari bahkan ketika tidak ada yang terjadi?,"Pertanyaan Anda adalah pertanyaan yang menarik! Sebagai manusia, kami memiliki kemampuan untuk merefleksikan situasi dalam hidup kami. Bahkan jika tidak ada yang terjadi saat ini pada saat tertentu, mungkin Anda merenungkan masalah yang serius atau menjengkelkan. Dan, emosi kita berlama -lama Di dalam diri kita. Hanya karena momen tertentu terasa tenang, di dalam perasaan Anda mungkin adalah perasaan emosi yang kuat dari masa lalu. Baik bagi Anda untuk menyadari kepekaan Anda sendiri untuk hidup dengan kesadaran akan suasana hati dan pikiran Anda."
user 395,Bagaimana saya bisa menghadapi depresi yang berasal dari nyeri kronis?,"Nyeri kronis di punggung kemungkinan terjadi dari beberapa area: zona ginjal L4-L5, kemungkinan besar (punggung bawah); taji tulang, cakram yang menyatu, dan cakram yang tergelincir, yang disebabkan oleh kelemahan jaringan ikat, dan endapan kalsium yang digunakan untuk menetralkan daerah yang sangat asam yang sangat asam ... 'Depresi' akan menguap ketika nyeri kronis terkuras, melalui cara alami; cara farmasi hanya akan memperluas rasa sakit dan menyebabkannya semakin dalam dari waktu ke waktu, bukan menyelesaikan masalah; ingat, dokter medis menekan, penyembuhan dokter alami alami ..."
user 396,Bagaimana saya bisa menghadapi depresi yang berasal dari nyeri kronis?,"Mungkin jika Anda mulai menjawab pertanyaan tentang sifat batin dari apa yang berubah dalam hidup Anda sebagai akibat dari masalah punggung. Untuk mengetahui keterbatasan Anda dan bidang-bidang kehidupan Anda yang mereka mempengaruhi, akan sangat berkontribusi pada pengetahuan diri yang lebih kuat di dalam diri Anda. Kesadaran yang lebih besar dan rasa arah sangat sering mengurangi depresi."
user 397,Mengapa rasanya seolah-olah melukai diri sendiri adalah kecanduan?,"Melukai diri sendiri memiliki cara untuk menjadi metode penanganan. Ketika kita terjebak menggunakan melukai diri sendiri sebagai cara untuk menangani dan mengelola emosi, ketika sesuatu yang serius terjadi, benar-benar masuk akal bahwa itu akan menjadi salah satu hal pertama yang harus dilalui pikiran. Ini adalah jenis kecanduannya sendiri. Ada terapi, DBT atau, terapi perilaku dialektis, yang berfokus pada memberi Anda alat baru untuk melewati masa -masa sulit, memahami dan mengelola emosi Anda, untuk tetap hadir dan menangani hubungan. Ini salah satu intervensi paling efektif yang ada untuk melukai diri sendiri. Jika Anda tertarik dengan DBT, jangkau seorang terapis lokal di daerah Anda dan tanyakan apakah mereka melakukan DBT atau dapat merekomendasikan Anda ke program DBT. Ini bisa sangat membantu. Pemulihan yang melukai diri sendiri benar-benar mungkin, tetapi itu pasti kerja keras!"
user 398,Mengapa saya mendambakan depresi?,"Sepertinya Anda memperhatikan bahwa Anda tertarik pada konten yang menyedihkan dan negatif dan sulit untuk dipahami mengapa. Ini mungkin terdengar kontra-intuitif, tetapi kadang-kadang kita melakukan hal-hal yang di permukaan mungkin terlihat bermasalah (atau bahkan menyebabkan kita beberapa masalah nyata) karena melayani kita dengan cara yang tidak terlihat. Contoh sederhana adalah seseorang yang kecanduan suatu zat; Kecanduan mereka mungkin menyebabkan masalah serius dalam hidup mereka, dan mereka bahkan mungkin mengetahuinya, tetapi kecanduan itu melayani mereka dengan membantu mereka menghindari perasaan menyakitkan yang mereka antisipasi jika mereka berhenti menggunakan. Sekarang saya tidak mengatakan bahwa apa yang Anda gambarkan adalah kecanduan, itu hanyalah contoh yang sangat ilustratif dari manfaat yang tidak terlihat. Salah satu hal yang akan saya heran tentang apa manfaat yang tak terlihat dari mencari konten yang menyedihkan dan negatif? Saya juga akan bertanya -tanya apa hubungan Anda dengan perasaan lain. Ini adalah hal -hal yang mungkin Anda manfaatkan dari menjelajahi dengan terapis yang kompeten."
